skill,status,source,note
algorithmic-art,experimental,codex,"创作型 skill，偏探索和灵感，不建议默认纳入团队标准流程"
artifacts-builder,experimental,codex,"适合复杂前端 artifact 生成，流程较重，先观察复用稳定性"
brainstorm,team-shared,codex,"通用方向探索能力，适合团队标准化使用"
brand-guidelines,personal-only,codex,"当前内容偏 Anthropic 品牌语境，团队通用性有限"
bug-fix,team-shared,codex,"通用排障修复流程，适合团队共享"
canvas-design,experimental,codex,"偏创意设计输出，稳定度和复用边界仍需观察"
cloudflare-deploy,experimental,codex,"平台特定能力，适用团队范围需视基础设施而定"
code-by-plan,team-shared,codex,"按计划编码执行流程，适合团队标准化"
create-plan,team-shared,codex,"编码计划生成能力，适合团队标准化"
design,team-shared,codex,"可实施设计方案输出，适合产品和设计协作"
doc,team-shared,codex,"通用文档处理能力，适合团队共享"
find-skills,team-shared,codex,"帮助发现和安装 skill，适合团队共享"
internal-comms,team-shared,codex,"内部沟通写作能力，适合团队共享"
mcp-builder,team-shared,codex,"MCP 服务构建能力，适合研发团队共享"
openai-docs,team-shared,codex,"官方文档检索与引用能力，适合团队共享"
prd,team-shared,codex,"PRD 生成能力，适合团队共享"
project-workflow,experimental,codex,"已归档兼容 skill，保留观察，不建议继续作为主流程扩散"
req-analyze,team-shared,codex,"需求分析核心能力，适合团队共享"
review,team-shared,codex,"代码审查能力，适合团队共享"
server-deploy,team-shared,codex,"通用服务器部署流程，可作为团队共享基线"
server-dify,personal-only,codex,"强绑定具体服务器与环境，默认仅个人自用"
server-feserver,personal-only,codex,"强绑定具体内网服务器，默认仅个人自用"
server-moltbot,personal-only,codex,"强绑定具体机器人服务器与环境，默认仅个人自用"
server-ops-safe,team-shared,codex,"安全受控运维流程，具备团队共享价值"
server-sense,personal-only,codex,"强绑定具体服务器与域名环境，默认仅个人自用"
server-servyou169,personal-only,codex,"强绑定具体内网服务器，默认仅个人自用"
skill-creator,team-shared,codex,"创建和维护 skill 的元能力，适合团队共享"
slack-gif-creator,experimental,codex,"场景较窄且偏创意产出，先归为实验中"
template-skill,experimental,codex,"模板型占位 skill，不应直接视为稳定能力"
theme-factory,experimental,codex,"主题化能力有复用潜力，但仍偏创意试验"
update-plan,team-shared,codex,"计划更新能力，适合团队共享"
update-prd,team-shared,codex,"PRD 更新能力，适合团队共享"
vercel-react-best-practices,team-shared,codex,"前端最佳实践指导，适合团队共享"
web-design-guidelines,team-shared,codex,"Web 设计评审规范，适合团队共享"
webapp-testing,team-shared,codex,"Web 应用测试能力，适合团队共享"
